"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Admin_Menu","","0","0","5","0","0"
"","删除菜单","","0","0","1","0","0"
"","Admin_Member","","0","0","0","7","0"
"","单次给会员打标签","","0","0","0","1","0"
"","Admin_Member_Label","","0","0","0","6","0"
"","更新标签信息","","0","0","0","1","0"
"","批量给会员打标签","","0","0","0","1","0"
"","Admin_Dept","","0","0","4","0","0"
"","添加部门","","0","0","1","0","0"
"","Login","","0","0","0","7","0"
"","登录","","0","0","0","7","0"
"","Admin_Member_Level1","","0","0","0","3","0"
"","更新等级信息","","0","0","0","1","0"
"","根据id查询会员","","0","0","0","1","0"
"","Admin_Role","","0","0","7","0","0"
"","获取角色列表","","0","0","1","0","0"
"","Admin_User","","0","0","9","0","0"
"","修改用户test1密码","","0","0","1","0","0"
"","根据id查询等级详情接口","","0","0","0","1","0"
"","获取查看菜单","","0","0","1","0","0"
"","批量更新会员等级","","0","0","0","1","0"
"","获取查看菜单树","","0","0","1","0","0"
"","添加角色","","0","0","1","0","0"
"","删除角色信息","","0","0","1","0","0"
"","Admin_Product_Service","","0","0","0","8","0"
"","获取数据字典信息","","0","0","0","8","0"
"","修改用户test1手机号并查询数据库","","0","0","1","0","0"
"","获取用户权限列表","","0","0","1","0","0"
"","Admin_Member_Label1","","0","0","0","1","0"
"","创建标签信息","","0","0","0","1","0"
"","修改菜单","","0","0","1","0","0"
"","删除标签信息(逻辑删除)","","0","0","0","2","0"
"","获取部门树","","0","0","1","0","0"
"","添加菜单","","0","0","1","0","0"
"","根据角色获取权限","","0","0","2","0","0"
"","查询标签详情","","0","0","0","1","0"
"","根据user_id删除用户","","0","0","1","0","0"
"","Admin_Dict","","0","0","4","0","0"
"","获取字典列表","","0","0","1","0","0"
"","修改字典","","0","0","1","0","0"
"","添加字典","","0","0","1","0","0"
"","查询会员列表","","0","0","0","1","0"
"","查询标签列表","","0","0","0","1","0"
"","Admin_Member_Level","","0","0","0","2","0"
"","创建等级信息","","0","0","0","1","0"
"","根据部门获取角色列表","","0","0","1","0","0"
"","变更会员状态","","0","0","0","1","0"
"","变更标签状态","","0","0","0","1","0"
"","查询等级列表接口","","0","0","0","2","0"
"","修改部门信息","","0","0","1","0","0"
"","修改角色信息","","0","0","1","0","0"
"","根据新创建用户test1查询用户管理页面","","0","0","1","0","0"
"","删除字典","","0","0","1","0","0"
"","更新角色权限","","0","0","1","0","0"
"","删除部门","","0","0","1","0","0"
"","获取用户管理页面","","0","0","1","0","0"
"","添加已有用户","","0","0","1","0","0"
"","添加新用户","","0","0","1","0","0"
"","批量更新会员状态","","0","0","0","1","0"
